CustomerID,Name,Age,Gender,Email,Phone,PurchaseAmount,PurchaseDate,ProductCategory,Rating,Months
CUST1000,Ali Hassan,72.0,Male,ali.hassan@gmail.com,Available,837.31,2023-10-12,Books,3.0,October
CUST1001,Fatma Ali,54.0,Female,fatma.ali@hotmail.com,Missing,900.25,2023-02-23,No Category Selected,3.0,February
CUST1002,Ahmed Mahmoud,54.0,Male,ahmed.mahmoud@hotmail.com,Missing,761.72,2023-07-07,Toys,2.0,July
CUST1003,Ahmed Gaber,54.0,Female,ahmed.gaber@gmail.com,Missing,303.72,2023-12-30,No Category Selected,2.0,December
CUST1004,Ali Ibrahim,73.0,Male,ali.ibrahim@yahoo.com,Available,635.81,2023-12-07,Clothing,2.0,December
CUST1005,Alaa Ibrahim,54.0,Female,alaa.ibrahim@hotmail.com,Available,886.26,2025-01-16,No Category Selected,2.0,January
CUST1006,Mark Ali,54.0,Male,mark.ali@hotmail.com,Missing,92.53,2024-06-12,Books,2.0,June
CUST1007,Alaa Hassan,54.0,Female,alaa.hassan@hotmail.com,Available,318.43,2024-05-17,Toys,4.17379077615298,May
CUST1008,John Hassan,89.0,Male,john.hassan@yahoo.com,Missing,883.52,,Home,4.0,
CUST1009,Fatma Gaber,54.0,Female,fatma.gaber@hotmail.com,Missing,966.47,2025-01-24,Electronics,2.0,January
CUST1010,Ahmed Smith,54.0,Male,ahmed.smith@gmail.com,Available,882.19,2025-06-24,No Category Selected,3.0,June
CUST1011,Sara Smith,54.0,Male,sara.smith@yahoo.com,Missing,405.79,2024-08-05,No Category Selected,4.17379077615298,August
CUST1012,Lina Ibrahim,54.0,Male,lina.ibrahim@hotmail.com,Missing,142.6,2023-05-23,Home,2.0,May
CUST1013,Lina Gaber,54.0,Male,lina.gaber@gmail.com,Missing,509.8973789316026,2024-02-04,Electronics,2.0,February
CUST1014,Alaa Ali,54.0,Male,alaa.ali@gmail.com,Missing,891.8,2023-05-21,Clothing,,May
CUST1015,Ali Ibrahim,18.0,Female,ali.ibrahim@hotmail.com,Available,337.49,2024-06-25,Home,1.0,June
CUST1016,Fatma Hassan,54.0,Female,fatma.hassan@gmail.com,Available,272.08,2024-01-09,Toys,2.0,January
CUST1017,John Mahmoud,54.0,Male,john.mahmoud@gmail.com,Missing,833.56,2025-02-19,No Category Selected,,February
CUST1018,Alaa Ali,15.0,Female,alaa.ali@hotmail.com,Available,923.5,2024-01-04,Toys,1.0,January
CUST1019,Ahmed Ibrahim,54.0,Male,ahmed.ibrahim@yahoo.com,Available,497.45,,No Category Selected,1.0,
CUST1020,Lina Gaber,54.0,Male,lina.gaber@hotmail.com,Missing,667.69,2023-04-27,Clothing,,April
CUST1021,Fatma Ibrahim,54.0,Male,fatma.ibrahim@yahoo.com,Available,118.22,2024-12-30,Clothing,1.0,December
CUST1022,Ahmed Mahmoud,54.0,Male,ahmed.mahmoud@gmail.com,Missing,22.02,2025-02-22,Electronics,1.0,February
CUST1023,Lina Ibrahim,44.0,Male,lina.ibrahim@yahoo.com,Available,389.24,,Clothing,4.17379077615298,
CUST1024,John Hassan,54.0,Male,john.hassan@hotmail.com,Missing,125.65,2023-02-27,No Category Selected,4.17379077615298,February
CUST1025,Fatma Mahmoud,54.0,Female,fatma.mahmoud@yahoo.com,Available,334.63,2025-06-18,Electronics,3.0,June
CUST1026,Sara Mahmoud,54.0,Male,sara.mahmoud@hotmail.com,Available,801.36,,No Category Selected,4.17379077615298,
CUST1027,Ahmed Hassan,54.0,Male,ahmed.hassan@hotmail.com,Missing,478.39,2025-03-22,No Category Selected,,March
CUST1028,Lina Smith,54.0,Male,lina.smith@gmail.com,Available,303.65,2023-11-10,Clothing,2.0,November
CUST1029,John Mahmoud,67.0,Female,john.mahmoud@hotmail.com,Missing,387.63,2024-02-28,Books,4.0,February
CUST1030,Ali Ali,62.0,Female,ali.ali@gmail.com,Available,509.8973789316026,2023-05-16,Toys,2.0,May
CUST1031,John Hassan,90.0,Male,john.hassan@yahoo.com,Missing,598.93,2024-10-13,Clothing,5.0,October
CUST1032,Lina Mahmoud,54.0,Male,lina.mahmoud@hotmail.com,Missing,958.61,2024-03-01,No Category Selected,,March
CUST1033,Sara Mahmoud,54.0,Male,sara.mahmoud@gmail.com,Available,378.4,2024-05-30,No Category Selected,,May
CUST1034,Fatma Mahmoud,54.0,Female,fatma.mahmoud@hotmail.com,Available,892.09,2023-11-15,No Category Selected,4.0,November
CUST1035,Mark Gaber,54.0,Male,mark.gaber@yahoo.com,Missing,917.28,2024-11-16,Home,2.0,November
CUST1036,Sara Ali,70.0,Female,sara.ali@yahoo.com,Missing,542.06,2023-01-12,Electronics,,January
CUST1037,Sara Hassan,54.0,Male,sara.hassan@yahoo.com,Missing,273.27,2025-01-17,Electronics,5.0,January
CUST1038,Lina Gaber,46.0,Female,lina.gaber@hotmail.com,Available,273.77,2023-01-30,Electronics,3.0,January
CUST1039,Ahmed Hassan,54.0,Male,ahmed.hassan@gmail.com,Available,513.99,2024-02-02,No Category Selected,5.0,February
CUST1040,Fatma Gaber,54.0,Female,fatma.gaber@gmail.com,Available,812.78,2024-11-27,No Category Selected,1.0,November
CUST1041,Alaa Mahmoud,54.0,Male,alaa.mahmoud@hotmail.com,Available,543.97,2025-03-08,Toys,4.0,March
CUST1042,Sara Mahmoud,54.0,Female,sara.mahmoud@gmail.com,Available,70.55,2024-01-03,Home,2.0,January
CUST1043,John Ibrahim,57.0,Female,john.ibrahim@hotmail.com,Missing,330.84,2024-08-12,No Category Selected,,August
CUST1044,Sara Gaber,54.0,Male,sara.gaber@hotmail.com,Available,156.51,2024-02-24,Home,3.0,February
CUST1045,John Gaber,54.0,Male,john.gaber@gmail.com,Missing,207.45,2024-12-24,Clothing,5.0,December
CUST1046,Ahmed Hassan,54.0,Male,ahmed.hassan@hotmail.com,Missing,713.49,2023-02-27,Books,5.0,February
CUST1047,Ahmed Ibrahim,54.0,Female,ahmed.ibrahim@yahoo.com,Available,911.39,2024-11-26,Clothing,2.0,November
